"These data were modified from ""https://knb.ecoinformatics.org/knb/d1/mn/v2/object/df35b.302.1 and https://knb.ecoinformatics.org/knb/d1/mn/v2/object/df35b.303.1",,,,,,,,
Modifications were done to show data entry errors to be used as example of a data cleaning workshop,,,,,,,,
region,Year,Chinook salmon,Sockeye salmon,Coho salmon,Pink salmon,Chum salmon,NOTES,source
PWS,1971,4,88,32,7311,574,,individual;local
BER,1971,0,37,88,0,0,,individual;regional;local
KSK,1971,7,4,5,0,31,,individual
YUK,1971,148,3,17,0,359,,local;regional
NRS,1971,3,0,3,5,131,,local;individual;regional
KTZ,1971,0,0,0,0,155,,regional;individual
ALU,1971,0,0,0,45,0,,local;individual
BRB,1970,140,20354,15,457,857,,individual;regional
SOP,1970,2,1779,33,1732,991,,individual
CHG,1970,1,1326,15,1287,462,,locals
COP,1970,19,1115,162,1,1,,individual;regional
KOD,1970,1,917,66,12037,920,,regional;local;individual
CKI,1970,8,753,279,1386,999,,regional
NOP,1970,5,573,26,35,71,,regional
NSE,1970,198,371,437,5244,1786,,local;individual
SSE,1970,112,185,281,5371,635,,local
YAK,1970,10,112,39,4,7,,local
PWS,1970,1,104,12,2810,231,,local
BER,1970,0,24,79,0,0,,regional;individual;local
KSK,1970,27,13,25,27,60,,local;individual;regional
YUK,1970,117,1,50,50,348,,individual;local;regional
NRS,1970,2,0,4,64,107,,local;individual
KTZ,1970,0,0,0,0,159,,regional
ALU,1970,0,0,0,642,3,,regional
BRB,1969,125,6617,81,2,392,,regional
SOP,1969,2,922,11,1204,394,,local;individual
CKI,1969,12,815,101,236,331,,local
COP,1969,14,697,77,1,0,,individual;regional;local
KOD,1969,2,591,49,12497,535,,individual;local
NSE,1969,213,445,415,3609,476,,local
NOP,1969,5,321,48,0,28,,regional;local
CHG,1969,3,310,18,1780,68,,regional;individual
PWS,1969,3,285,8,4829,321,,regional;local
SSE,1969,95,248,120,1199,69,,regional
YAK,1969,5,118,60,64,15,,local;regional;individual
BER,1969,0,38,4,0,0,,local
KSK,1969,22,11,29,1,43,,regional;individual;local
YUK,1969,134,0,97,97,201,,local;regional
NRS,1969,2,0,7,87,82,,regional
KTZ,1969,0,0,0,0,59,,local;regional
ALU,1969,0,0,0,242,0,,regional
BRB,1968,104,2793,93,1936,364,,regional;individual;local
CKI,1968,5,1200,475,2864,1194,,local;individual
CHG,1968,1,878,2,1291,224,,regional;individual
KOD,1968,2,760,57,8768,750,,regional
SOP,1968,1,700,31,1285,325,,regional
COP,1968,10,573,231,4,0,,regional;local
NSE,1968,218,441,762,9882,1367,,individual;regional
SSE,1968,110,309,658,15201,1263,,local;regional;individual
NOP,1968,4,237,65,0,74,,regional;individual
PWS,1968,2,122,12,2452,343,,individual;regional;local
YAK,1968,4,81,122,2,14,,local;individual;regional
BER,1968,0,26,67,0,0,,regional
KSK,1968,43,6,154,76,20,,individual
ALU,1968,0,3,0,894,1,,regional
YUK,1968,107,0,13,13,67,,local;individual;regional
NRS,1968,1,0,7,71,45,,individual;regional
KTZ,1968,0,0,0,0,30,,local;individual
BRB,1967,117,4331,54,1,476,,local;regional
CKI,1967,8,1409,180,408,382,,regional;local
SSE,1967,108,580,169,642,290,,regional;individual
COP,1967,10,508,161,1,0,,regional;local
CHG,1967,1,468,9,109,76,,regional
KOD,1967,2,309,10,188,227,,local;individual;regional
NSE,1967,191,303,577,2437,1516,,local;individual;regional
SOP,1967,2,297,3,78,239,,individual;regional
NOP,1967,6,225,47,1,41,,local
YAK,1967,2,88,120,33,4,,regional
PWS,1967,4,46,41,2626,274,,individual;regional
BER,1967,0,12,46,0,0,,local;individual
KSK,1967,30,1,58,0,8,,regional;local
YUK,1967,129,0,11,11,49,,local
NRS,1967,2,0,2,29,42,,local
KTZ,1967,0,0,0,0,29,,regional;individual;local
ALU,1967,0,0,0,8,0,,regional;local;individual
BRB,1966,77,9314,34,2493,343,,individual
CKI,1966,10,1867,295,2586,661,,local;individual
COP,1966,11,1006,116,1,0,,regional;individual
KOD,1966,1,632,68,10756,763,,regional
SOP,1966,1,606,6,302,485,,local;individual;regional
SSE,1966,113,445,598,15650,706,,individual
NSE,1966,193,423,561,4787,2564,,local;individual
NOP,1966,9,245,37,16,79,,local
CHG,1966,1,222,15,684,239,,regional;individual;local
YAK,1966,2,185,67,3,260,,individual
PWS,1966,1,100,24,2699,427,,local;regional;individual
BER,1966,0,25,50,0,0,,individual
KSK,1966,26,1,23,0,3,,regional;individual
ALU,1966,0,1,0,63,1,,local;regional;individual
YUK,1966,93,0,19,19,71,,regional;individual;local
NRS,1966,2,0,6,13,80,,local;individual;regional
KTZ,1966,0,0,0,0,32,Sockeye and pink and 9922 chum from Port Clarence area,regional
BRB,1965,113,24255,8,1,361,,regional;local;individual
